Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Total Backward Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,FIN Flag Count,PSH Flag Count,ACK Flag Count,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
60.016960859298706,16,876,17,71066,66,54,54.75,2.9047375096555625,8818,1518,4180.35294117647,2465.287310333493,2180.060606060606,2717.011749111835,8818,54,1198.6944851915755,0.549844569393706,1.8755300268530846,5.3044559504514694,24.17631697654724,7.605552673339844e-05,0,0,33,0.5342787901560465,1.7892229557037354,0.00015687942504882812,11.362257623672486,24.17631697654724,3.040781021118164
45.05469083786011,2,132,2,110,66,66,66.0,0.0,55,55,55.0,0.0,60.5,5.5,66,55,5.371249818823391,0.0887809887408825,15.018230279286703,21.205599761634623,45.007477045059204,0.022774934768676758,0,0,4,0.02360689640045166,0.024438858032226562,0.022774934768676758,45.007477045059204,45.007477045059204,45.007477045059204
40.50813698768616,6,420,3,246,82,58,70.0,12.0,82,82,82.0,0.0,74.0,11.313708498984761,82,58,16.44114120090128,0.22217758379596325,5.06351712346077,8.75039866656726,20.45964503288269,0.00046896934509277344,0,6,9,0.02391227086385091,0.02424788475036621,0.02349686622619629,20.218200087547302,20.45964503288269,19.976755142211914
0.29185986518859863,0,0,4,304,0,0,0.0,0.0,91,71,76.0,8.660254037844387,76.0,8.660254037844387,91,71,1041.5957665284209,13.705207454321329,0.09728662172953288,0.03268444394691463,0.14137601852416992,0.06322097778320312,0,0,0,0.29185986518859863,0.29185986518859863,0.29185986518859863,0.0,0.0,0.0
0.023839950561523438,1,1296,1,1292,1296,1296,1296.0,0.0,1292,1292,1292.0,0.0,1294.0,2.0,1296,1292,108557.27210176815,83.89279142331387,0.023839950561523438,0.0,0.023839950561523438,0.023839950561523438,0,0,0,0.023839950561523438,0.023839950561523438,0.023839950561523438,0.0,0.0,0.0
27.05751395225525,12,6229,8,4364,1296,70,519.0833333333334,497.0030949490042,1292,71,545.5,578.7933569072817,529.65,531.390089764572,1296,70,391.4993823413356,0.7391662085175787,1.4240796816976447,6.018344825755861,26.95772099494934,0.0,0,0,0,0.0498964786529541,0.07558298110961914,0.024209976196289062,26.95772099494934,26.95772099494934,26.95772099494934
0.011127948760986328,3,174,5,357,66,54,58.0,5.656854249492381,129,54,71.4,29.17258987474372,66.375,24.207114140268764,129,54,47717.68916313151,718.910571195955,0.0015897069658551896,0.001616470921814367,0.004525899887084961,0.0001239776611328125,2,1,7,0.011127948760986328,0.011127948760986328,0.011127948760986328,0.0,0.0,0.0
13.225102186203003,3,198,2,108,82,58,66.0,11.313708498984761,54,54,54.0,0.0,61.2,10.552724766618335,82,54,23.137817439265792,0.3780689124063038,3.3062755465507507,5.712663177381844,13.200883865356445,0.0,2,1,5,0.012109160423278809,0.024071216583251953,0.00014710426330566406,13.200883865356445,13.200883865356445,13.200883865356445
0.0618128776550293,1,55,1,70,55,55,55.0,0.0,70,70,70.0,0.0,62.5,7.5,70,55,2022.2323364010151,32.355717382416245,0.0618128776550293,0.0,0.0618128776550293,0.0618128776550293,0,0,2,0.0618128776550293,0.0618128776550293,0.0618128776550293,0.0,0.0,0.0
0.022912025451660156,1,55,1,66,55,55,55.0,0.0,66,66,66.0,0.0,60.5,5.5,66,55,5281.0695525494275,87.29040582726327,0.022912025451660156,0.0,0.022912025451660156,0.022912025451660156,0,0,2,0.022912025451660156,0.022912025451660156,0.022912025451660156,0.0,0.0,0.0
0.2787511348724365,1,85,2,139,85,85,85.0,0.0,85,54,69.5,15.5,74.66666666666667,14.613540144521982,85,54,803.5841723209772,10.762288022155944,0.13937556743621826,0.09408152103424072,0.23345708847045898,0.04529404640197754,0,2,3,0.2787511348724365,0.2787511348724365,0.2787511348724365,0.0,0.0,0.0
